,Internal Contact ID,Latitude,Longitude,BOROUGH,CUR_UNIT11,DEVELOPMEN,NONRES_BLD,RES_BLDG,TDS_NUM,TOT_POP11
52998,87472,40.8126299,-73.924745,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
52999,87473,40.8134667,-73.9232611,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53000,87474,40.813263,-73.924801,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53003,87477,40.8148182,-73.9236241,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53004,87478,40.813263,-73.924801,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53010,87484,40.814486,-73.922739,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53012,87486,40.8143459,-73.9244824,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53015,87492,40.8126299,-73.924745,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53016,87493,40.8126299,-73.924745,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53018,87496,40.8156797,-73.9234865,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53021,87499,40.813263,-73.924801,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53022,87500,40.8136735,-73.9228615,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53023,87501,40.8143459,-73.9244824,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53025,87503,40.8136735,-73.9228615,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53028,87506,40.814486,-73.922739,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53029,87508,40.8126299,-73.924745,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53030,87509,40.814486,-73.922739,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53031,87510,40.814486,-73.922739,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53032,87511,40.8120783,-73.9257377,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53037,87516,40.8156797,-73.9234865,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53040,87519,40.8120783,-73.9257377,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53042,87522,40.814486,-73.922739,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
53043,87524,40.814486,-73.922739,BRONX,1790.0,PATTERSON,0.0,15.0,024,4356.0
